world_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
3330.397587,1522,1,0.449441726,0.294182777,3330.398542-0 3330.396632-1,,,,,,,,,,,,,,,
3330.401622,1522,1,0.449934174,0.294931109,3330.398542-0 3330.404702-1,,,,,,,,,,,,,,,
3330.405657,1523,1,0.451290636,0.296084288,3330.406612-0 3330.404702-1,,,,,,,,,,,,,,,
3330.409692,1523,1,0.451002081,0.295830317,3330.406612-0 3330.412772-1,,,,,,,,,,,,,,,
3330.413727,1523,1,0.450001695,0.296348905,3330.414682-0 3330.412772-1,,,,,,,,,,,,,,,
3330.417762,1523,1,0.450167086,0.296417097,3330.414682-0 3330.420842-1,,,,,,,,,,,,,,,
3330.421797,1523,1,0.450495688,0.295923733,3330.422752-0 3330.420842-1,,,,,,,,,,,,,,,
3330.425833,1523,1,0.450525272,0.295241632,3330.422752-0 3330.428913-1,,,,,,,,,,,,,,,
3330.429868,1523,1,0.450822475,0.29523095,3330.430823-0 3330.428913-1,,,,,,,,,,,,,,,
3330.433903,1523,1,0.45054972,0.295161208,3330.430823-0 3330.436983-1,,,,,,,,,,,,,,,
3330.437938,1523,1,0.449786458,0.295105303,3330.438893-0 3330.436983-1,,,,,,,,,,,,,,,
3330.441973,1524,1,0.450071166,0.296005659,3330.438893-0 3330.445053-1,,,,,,,,,,,,,,,
3330.446008,1524,1,0.450066519,0.295474183,3330.446963-0 3330.445053-1,,,,,,,,,,,,,,,
3330.450043,1524,1,0.449956405,0.295050186,3330.446963-0 3330.453123-1,,,,,,,,,,,,,,,
3330.454078,1524,1,0.44983384,0.295253743,3330.455033-0 3330.453123-1,,,,,,,,,,,,,,,
3330.458113,1524,1,0.449893544,0.29505016,3330.455033-0 3330.461193-1,,,,,,,,,,,,,,,
3330.462148,1524,1,0.449434296,0.2964884,3330.463103-0 3330.461193-1,,,,,,,,,,,,,,,
3330.466183,1524,1,0.449672171,0.297570793,3330.463103-0 3330.469263-1,,,,,,,,,,,,,,,
3330.470218,1524,1,0.44996308,0.295841439,3330.471173-0 3330.469263-1,,,,,,,,,,,,,,,
3330.474253,1525,1,0.449787332,0.295742435,3330.471173-0 3330.477333-1,,,,,,,,,,,,,,,
3330.478288,1525,1,0.449836371,0.29672583,3330.479243-0 3330.477333-1,,,,,,,,,,,,,,,
